id,analysis_id,interpreted_age_id,forced_plateau_step,plateau_step
81,186,33,NULL,1
82,189,33,NULL,1
83,190,33,NULL,1
84,191,33,NULL,1
85,192,33,NULL,1
86,194,33,NULL,1
87,195,33,NULL,1
88,196,33,NULL,0
89,197,33,NULL,0
90,203,33,NULL,0
91,206,34,NULL,0
92,207,34,NULL,0
93,208,34,NULL,0
94,209,34,NULL,0
95,210,34,NULL,1
96,212,34,NULL,1
97,213,34,NULL,1
98,214,34,NULL,1
99,215,34,NULL,1
100,219,34,NULL,0
101,221,35,NULL,0
102,222,35,NULL,0
103,223,35,NULL,0
104,224,35,NULL,0
105,225,35,NULL,0
106,227,35,NULL,0
107,228,35,NULL,1
108,229,35,NULL,1
109,230,35,NULL,1
110,231,35,NULL,1
111,233,36,NULL,0
112,234,36,NULL,0
113,235,36,NULL,0
114,236,36,NULL,0
115,237,36,NULL,0
116,239,36,NULL,0
117,240,36,NULL,0
118,241,36,NULL,0
119,242,36,NULL,0
120,243,36,NULL,0
121,245,37,NULL,0
122,246,37,NULL,0
123,247,37,NULL,0
124,248,37,NULL,0
125,249,37,NULL,0
126,251,37,NULL,0
127,252,37,NULL,1
128,253,37,NULL,1
129,254,37,NULL,1
130,255,37,NULL,1
131,257,38,NULL,0
132,260,38,NULL,0
133,261,38,NULL,0
134,262,38,NULL,0
135,263,38,NULL,0
136,264,38,NULL,0
137,266,38,NULL,0
138,267,38,NULL,0
139,268,38,NULL,0
140,269,38,NULL,0
141,271,39,NULL,1
142,272,39,NULL,1
143,273,39,NULL,1
144,274,39,NULL,1
145,275,39,NULL,1
146,277,39,NULL,1
147,278,39,NULL,0
148,279,39,NULL,0
149,280,39,NULL,0
150,284,39,NULL,0
151,286,40,NULL,1
152,287,40,NULL,1
153,288,40,NULL,1
154,289,40,NULL,1
155,290,40,NULL,1
156,292,40,NULL,1
157,293,40,NULL,1
158,294,40,NULL,0
159,295,40,NULL,0
160,297,40,NULL,0
161,299,41,NULL,0
162,302,41,NULL,0
163,305,41,NULL,0
164,306,41,NULL,1
165,307,41,NULL,1
166,308,41,NULL,1
167,309,41,NULL,1
168,310,41,NULL,1
169,311,41,NULL,0
170,312,41,NULL,0
171,317,41,NULL,0
172,319,42,NULL,0
173,320,42,NULL,0
174,321,42,NULL,0
175,322,42,NULL,0
176,323,42,NULL,0
177,325,42,NULL,0
178,326,42,NULL,0
179,327,42,NULL,0
180,328,42,NULL,0
181,329,42,NULL,0
